témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
encouragerait        ==> most : 0.089615           what : 0.086496           from : 0.0561515         
accueille            ==> welcomes : 0.142857       strongly : 0.142857       liberal : 0.142857       
travaux              ==> work : 0.405544           could : 0.169608          which : 0.151277         
accueilli            ==> reproached : 0.0911957    making : 0.0911957        kind : 0.0911957         
devenir              ==> more : 0.286476           to : 0.254475             particularly : 0.0627681 
adressées            ==> untenable : 0.0769284     undermine : 0.0769284     though : 0.0769284       
lors                 ==> to : 0.486206             in : 0.320049             that : 0.129089          
erratiques           ==> privatising : 0.0916404   privatised : 0.0916404    movements : 0.0916404    
dell                 ==> sound : 0.100362          sensible : 0.100362       sceptic : 0.100362       
adoptent             ==> will : 0.144771           so : 0.1256               quaestors : 0.121017     
considérable         ==> fallen : 0.329771         convincingly : 0.329771   achieved : 0.329771      
moraux               ==> hundred : 0.128917        virtual : 0.128917        shields : 0.128917       
commenter            ==> going : 0.451833          situation : 0.0508331     not : 0.0317643          
efficacement         ==> effectively : 0.695759    for : 0.285416            it : 0.0133195           
fondée               ==> based : 0.469544          as : 0.390993             future : 0.122391        
intensification      ==> up : 0.419586             stepping : 0.200757       this : 0.177043          
importantes          ==> sums : 0.162164           important : 0.161745      money : 0.143779         
étanche              ==> impervious : 0.0880486    demarcation : 0.0880486   applied : 0.0880486      
aider                ==> help : 0.601645           us : 0.240939             end : 0.0919595          
directement          ==> directly : 0.588554       by : 0.301115             as : 0.0606544           
0057                 ==> regarding : 0.197368      0318 : 0.197368           0057 : 0.197368          
tirer                ==> order : 0.394387          benefit : 0.351024        from : 0.11499           
surpassé             ==> surpassed : 0.200146      itself : 0.200146         has : 0.200146           
conducteurs          ==> truck : 0.125             occurs : 0.125            longuenesse : 0.125      
ratifié              ==> yet : 0.205411            proceeded : 0.102897      respect : 0.102897       
blouse               ==> taken : 0.0578881         test : 0.0578881          stethoscope : 0.0578881  
démantèlement        ==> colombian : 0.239343      undertake : 0.119672      practical : 0.119672     
poursuivies          ==> various : 0.0928911       ups : 0.0928911           told : 0.0928911         
sécurité             ==> safety : 0.66539          security : 0.334592       with : 1.80047e-05       
delà                 ==> beyond : 0.628187         s : 0.356419              have : 0.0143695         
reporter             ==> one : 0.124878            request : 0.0859126       received : 0.0624393     
évolution            ==> more : 0.490505           make : 0.160085           comparative : 0.105694   
chine                ==> china : 0.694262          this : 0.0742024          there : 0.066954         
tobin                ==> tax : 0.320122            tobin : 0.209634          into : 0.0665583         
minerons             ==> place : 0.0813446         workers : 0.0512535       mark : 0.0512535         
innovatrices         ==> innovative : 0.546725     measures : 0.385108       with : 0.0681615         
exprimons            ==> let : 0.16821             room : 0.0931254          grant : 0.0931254        
définition           ==> definition : 0.467839     on : 0.304026             a : 0.058352             
connaissance         ==> s : 0.314703              better : 0.228197         knowledge : 0.114298     
